colony_id,name,reg_number,category,boundary_delineated,map_number,satellite_boundary_pdf_url,final_boundary_pdf_url,upload_date,remarks,source_link
1553,"Shalimar Village, Delhi-88",1555,regular,1,1063,,https://dda.gov.in/sites/default/files/pmuday/1063_1555.pdf,2020-06-08,,https://dda.gov.in/delineated-boundary
1554,"Uttam Nagar, A-1, 2, 3 Block, Hastaal Road, New Delhi",1556,regular,1,958,,https://dda.gov.in/sites/default/files/pmuday/958_1556.pdf,2020-06-04,,https://dda.gov.in/delineated-boundary
1555,"Roshan Vihar, Kakrola Road, Najafgarh, Delhi- 45.",1557,regular,1,1486,,https://dda.gov.in/sites/default/files/pmuday/1486_29-(LOP).pdf,2020-06-17,,https://dda.gov.in/delineated-boundary
1556,"Village Molarband, B-Block, New Delhi",1558,regular,1,1190,,https://dda.gov.in/sites/default/files/pmuday/1190_1558.pdf,2020-06-10,,https://dda.gov.in/delineated-boundary
1557,"Mohan Garden, P-Block, Extn. I & II,",1559,regular,0,1584,,,2020-03-19,"BOUNDARY OF COLONY CAN NOT BE DELINEATED AS PER ""SOP""",https://dda.gov.in/delineated-boundary
1558,Ravi Nagar Extension,1560,regular,1,33,,https://dda.gov.in/sites/default/files/pmuday/33_1560.pdf,2020-03-11,,https://dda.gov.in/delineated-boundary
1559,"Krishan Kunj, Part-II, Laxmi Nagar",1561,regular,1,1018,https://dda.gov.in/sites/default/files/pmuday/1018_1561.pdf,,2019-12-15,,https://dda.gov.in/delineated-boundary
1560,"Sadh Nagar, E-Block, Part-II Palam Colony, New Delhi-110045",1562,regular,1,417,,https://dda.gov.in/sites/default/files/pmuday/417_1562.pdf,2020-05-20,,https://dda.gov.in/delineated-boundary
1561,"Shiv Mandir Mohalla, Badli, Delhi-42",1563,regular,1,53,,https://dda.gov.in/sites/default/files/pmuday/53_1563.pdf,2020-03-11,,https://dda.gov.in/delineated-boundary
1562,"Prem nagar, F & G Block",1564,regular,0,,,,,Boundary map pending or omitted from DDA portal table,https://dda.gov.in/sites/default/files/pmuday/1731_uc.pdf
